ano,edicao_fifa_sugerida,selecao,sigla,jogador,sourcePlayerId,posicao,overall,overall_fonte,status_cruzamento_fifa
1930,1931,Argentina,ARG,Ángel Bossio,P-69244,GOL,83.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Juan Botasso,P-23160,GOL,,,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Roberto Cherro,P-99230,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Alberto Chividini,P-41921,DEF,,,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,José Della Torre,P-22739,DEF,85.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Attilio Demaría,P-30720,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Juan Evaristo,P-30543,MEI,83.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Mario Evaristo,P-23897,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Manuel Ferreira,P-60505,ATA,87.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Luis Monti,P-25760,MEI,89.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Ramón Muttis,P-49556,DEF,,,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Rodolfo Orlandini,P-91238,MEI,,,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Fernando Paternoster,P-58537,DEF,,,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Natalio Perinetti,P-24312,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Carlos Peucelle,P-70166,ATA,88.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Edmundo Piaggio,P-49151,DEF,,,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Alejandro Scopelli,P-44916,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Carlos Spadaro,P-21441,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Guillermo Stábile,P-56486,ATA,92.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Arico Suárez,P-56908,MEI,,,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Francisco Varallo,P-37326,ATA,90.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Argentina,ARG,Adolfo Zumelzú,P-76546,MEI,,,pendente_importacao_da_base_fifa
1930,1931,Bolívia,BOL,Mario Alborta,P-43807,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Bolívia,BOL,Juan Argote,P-62751,MEI,,,pendente_importacao_da_base_fifa
1930,1931,Bolívia,BOL,Jesús Bermúdez,P-95008,GOL,,,pendente_importacao_da_base_fifa
1930,1931,Bolívia,BOL,Miguel Brito,P-97354,MEI,,,pendente_importacao_da_base_fifa
1930,1931,Bolívia,BOL,José Bustamante,P-16019,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Bolívia,BOL,Casiano Chavarría,P-36835,DEF,,,pendente_importacao_da_base_fifa
1930,1931,Bolívia,BOL,Segundo Durandal,P-69877,DEF,,,pendente_importacao_da_base_fifa
1930,1931,Bolívia,BOL,René Fernández,P-61667,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Bolívia,BOL,Gumercindo Gómez,P-48216,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Bolívia,BOL,Diógenes Lara,P-92600,MEI,,,pendente_importacao_da_base_fifa
1930,1931,Bolívia,BOL,Rafael Méndez,P-84833,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Bolívia,BOL,Miguel Murillo,P-92838,GOL,,,pendente_importacao_da_base_fifa
1930,1931,Bolívia,BOL,Constantino Noya,P-93364,MEI,,,pendente_importacao_da_base_fifa
1930,1931,Bolívia,BOL,Eduardo Reyes Ortiz,P-56114,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Bolívia,BOL,Luis Reyes Peñaranda,P-35684,DEF,,,pendente_importacao_da_base_fifa
1930,1931,Bolívia,BOL,Renato Sáinz,P-00369,MEI,,,pendente_importacao_da_base_fifa
1930,1931,Bolívia,BOL,Jorge Valderrama,P-67934,MEI,,,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Araken,P-13299,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Benedicto,P-70170,ATA,79.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Benvenuto,P-11648,MEI,,,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Brilhante,P-81166,DEF,80.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Doca,P-58460,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Fausto,P-52323,DEF,86.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Fernando,P-00708,MEI,82.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Fortes,P-49818,MEI,,,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Hermógenes,P-29865,DEF,,,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Itália,P-92427,DEF,79.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Joel,P-16656,GOL,78.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Carvalho Leite,P-72889,ATA,83.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Manoelzinho,P-30679,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Ivan Mariz,P-49633,MEI,,,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Moderato,P-83987,ATA,80.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Nilo,P-10526,ATA,81.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Oscarino,P-52064,MEI,,,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Pamplona,P-32535,MEI,,,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Poly,P-38379,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Preguinho,P-91171,ATA,85.0,manual_existente_no_projeto,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Russinho,P-82422,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Teóphilo,P-26796,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Velloso,P-28745,GOL,,,pendente_importacao_da_base_fifa
1930,1931,Brasil,BRA,Zé Luiz,P-22493,DEF,,,pendente_importacao_da_base_fifa
1930,1931,Bélgica,BEL,Ferdinand Adams,P-92795,ATA,,,pendente_importacao_da_base_fifa
1930,1931,Bélgica,BEL,Arnold Badjou,P-20690,GOL,,,pendente_importacao_da_base_fifa
1930,1931,Bélgica,BEL,Pierre Braine,P-40714,MEI,,,pendente_importacao_da_base_fifa
1930,1931,Bélgica,BEL,Alexis Chantraine,P-41990,MEI,,,pendente_importacao_da_base_fifa
